1,0,380,3.61,3
2,1,660,3.67,3
3,1,800,4,1
4,1,640,3.19,4
5,0,520,2.93,4
6,1,760,3,2
7,1,560,2.98,1
8,0,400,3.08,2
9,1,540,3.39,3
10,0,700,3.92,2
11,0,800,4,4
12,0,440,3.22,1
13,1,760,4,1
14,0,700,3.08,2
15,1,700,4,1
16,0,480,3.44,3
17,0,780,3.87,4
18,0,360,2.56,3
19,0,800,3.75,2
20,1,540,3.81,1
21,0,500,3.17,3
22,1,660,3.63,2
23,0,600,2.82,4
24,0,680,3.19,4
25,1,760,3.35,2
26,1,800,3.66,1
27,1,620,3.61,1
28,1,520,3.74,4
29,1,780,3.22,2
30,0,520,3.29,1
31,0,540,3.78,4
32,0,760,3.35,3
33,0,600,3.4,3
34,1,800,4,3
35,0,360,3.14,1
36,0,400,3.05,2
37,0,580,3.25,1
38,0,520,2.9,3
39,1,500,3.13,2
40,1,520,2.68,3
